,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Females ;,Employed total ;  > Females ;,Employed total ;  > Females ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed part-time ;  Persons ;,> Employed part-time ;  Persons ;,> Employed part-time ;  Persons ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Females ;,> Employed part-time ;  > Females ;,> Employed part-time ;  > Females ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Females ;,> Unemployed looked for only part-time work ;  > Females ;,> Unemployed looked for only part-time work ;  > Females ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  > Females ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Not in the labour force (NILF) ;  Persons ;,Not in the labour force (NILF) ;  > Males ;,Not in the labour force (NILF) ;  > Females ;,Civilian population aged 15 years and over ;  Persons ;,Civilian population aged 15 years and over ;  > Males ;,Civilian population aged 15 years and over ;  > Females ;
1990-09-01,7858.8522256,7844.1322462,7905.534512,4590.5768375,4593.7590323,4614.091668,3268.2753881,3250.373214,3291.442844,6193.1286614,6195.9867546,6210.795982,4222.6994812,4226.5723307,4235.438968,1970.4291802,1969.4144239,1975.357014,1665.7235643,1648.1454916,1694.73853,367.8773563,367.1867016,378.6527001,1297.846208,1280.95879,1316.08583,59.1465583,59.0420465,59.5042156,70.1425007,70.1985378,70.5092465,48.4756452,48.2128274,48.8220137,626.5481996,624.4922416,625.0224596,362.6377175,360.5570872,361.0938432,263.910482,263.9351544,263.9286164,503.3096305,500.068189,491.1381823,322.5484768,319.6554581,318.3745832,180.7611537,180.4127309,172.7635991,123.2385691,124.4240526,133.8842773,40.0892408,40.9016291,42.71926,83.1493283,83.5224235,91.1650173,7.3838377,7.3741874,7.3268658,7.32126,7.2776359,7.2578971,7.471591,7.5103015,7.4233767,7.5160796,7.4681016,7.3283051,7.096389,7.031224,6.9913838,8.4028433,8.3919645,8.0425465,6.8888305,7.0194173,7.3215907,9.8265988,10.0227392,10.1381354,6.0209701,6.1211853,6.478235,8485.4004252,8468.6244878,8530.556971,4953.214555,4954.3161195,4975.185511,3532.1858702,3514.3083683,3555.37146,63.8620267,63.7425409,64.208701,75.6834854,75.7083131,76.0272242,52.3900127,52.1277809,52.7368702,4755.114356,1568.767082,3186.347273,13285.67133,6543.952593,6741.718734
1990-10-01,7839.3490317,7829.7122201,7848.901359,4574.7569185,4573.5172821,4589.334658,3264.5921132,3256.1949381,3259.566701,6169.2995876,6151.7940259,6165.265445,4205.6092489,4201.7228538,4215.178311,1963.6903388,1950.0711721,1950.087134,1670.0494441,1677.9181942,1683.635914,369.1476696,371.7944282,374.1563467,1300.9017744,1306.1237659,1309.479568,58.9274172,58.8556281,58.9998721,69.8178956,69.7981176,70.0395123,48.359693,48.2345103,48.2844567,646.2072848,647.4131831,603.0830995,377.8952474,377.353827,351.7572049,268.3120374,270.0593561,251.3258946,520.3134917,520.0329807,480.9872332,336.6267394,335.9773065,312.9167319,183.6867523,184.0556742,168.0705013,125.8937931,127.3802024,122.0958663,41.2685079,41.3765204,38.840473,84.6252851,86.003682,83.2553933,7.6153791,7.6371783,7.1354024,7.6301593,7.6219683,7.1190177,7.5946594,7.6585332,7.1584615,7.777931,7.7944614,7.2369688,7.4110359,7.4041319,6.9105602,8.5540054,8.6244018,7.9347495,7.0098982,7.0559085,6.7615727,10.0552829,10.0143828,9.4045453,6.1078046,6.1778598,5.9778347,8485.5563165,8477.1254032,8451.984459,4952.6521658,4950.871109,4941.091863,3532.9041506,3526.2542942,3510.892596,63.7848775,63.7222067,63.5332232,75.585164,75.5570522,75.4078075,52.3343053,52.2349405,52.0073854,4851.267022,1611.401872,3239.86515,13303.25148,6552.493734,6750.757746
1990-11-01,7818.2425227,7809.8581575,7826.922723,4557.9266711,4553.032764,4550.843186,3260.3158516,3256.8253935,3276.079537,6141.0445607,6133.2025544,6125.196024,4185.5046845,4181.0137984,4176.243225,1955.5398762,1952.1887559,1948.952799,1677.197962,1676.6556031,1701.726699,372.4219866,372.0189655,374.5999604,1304.7759754,1304.6366376,1327.126739,58.6962405,58.629355,58.7574603,69.4773537,69.3957675,69.3623947,48.2345318,48.1795721,48.4644066,667.619056,674.120568,625.7790937,393.7097756,404.0498543,377.721568,273.9092804,270.0707137,248.0575257,538.3621568,546.934556,511.9848728,351.2614203,360.9553342,341.6320233,187.1007364,185.9792218,170.3528495,129.2568992,127.1860121,113.7942209,42.4483553,43.0945202,36.0895447,86.8085439,84.0914919,77.7046762,7.8674281,7.9458069,7.4033026,7.9511042,8.1509607,7.6639263,7.7501933,7.6574616,7.0388161,8.0600296,8.187475,7.7138906,7.7425508,7.9471111,7.5617852,8.7322501,8.6980641,8.0381445,7.1552798,7.0508414,6.2678551,10.231716,10.3813828,8.7875498,6.2381079,6.0552883,5.5312456,8485.8615786,8483.9787255,8452.701817,4951.6364467,4957.0826183,4928.564754,3534.2251319,3526.8961072,3524.137063,63.7084575,63.6900428,63.4552441,75.4787476,75.5541571,75.1194976,52.2868649,52.1748404,52.1340247,4868.028314,1632.401323,3235.626991,13320.73013,6560.966077,6759.764054
1990-12-01,7795.8078874,7813.0573314,7915.536125,4540.3114832,4551.6298999,4608.174629,3255.4964041,3261.4274315,3307.361496,6109.6850734,6130.5961744,6229.414603,4162.8612812,4178.5761479,4236.29557,1946.8237922,1952.0200265,1993.119033,1686.122814,1682.461157,1686.121523,377.450202,373.053752,371.8790592,1308.672612,1309.407405,1314.242463,58.4553535,58.5756127,59.343911,69.1254354,69.2834701,70.1441761,48.1012657,48.1829752,48.861586,691.7554362,681.2938278,700.8391514,410.1320033,401.7087241,414.5230738,281.623433,279.5851037,286.3160776,558.4174922,552.8258826,568.6771757,366.3122049,358.2812677,365.9414627,192.1052873,194.5446149,202.735713,133.337944,128.4679452,132.1619757,43.8197984,43.4274564,48.5816111,89.5181457,85.0404888,83.5803646,8.1502242,8.0205517,8.1338049,8.2847528,8.1098579,8.2529967,7.9619421,7.8956259,7.9672166,8.3744587,8.2715992,8.3652471,8.0878378,7.8971243,7.9513823,8.9813771,9.0630681,9.2326559,7.328432,7.094035,7.2685022,10.4018322,10.4272307,11.554377,6.4024272,6.098506,5.9793246,8487.5633236,8494.3511592,8616.375277,4950.4434865,4953.338624,5022.697703,3537.1198371,3541.0125352,3593.677574,63.6423475,63.6833704,64.5982027,75.3696222,75.3981532,76.4539152,52.262365,52.3134494,53.0915009,4722.038046,1546.877828,3175.160218,13338.41332,6569.575531,6768.837792
1991-01-01,7771.7669151,7744.1655478,7641.269189,4521.8237826,4512.2586041,4494.353023,3249.9431325,3231.9069436,3146.916166,6076.2303521,6080.3108637,6104.58245,4138.2135032,4132.1479902,4135.367141,1938.0168489,1948.1628735,1969.215309,1695.536563,1663.8546841,1536.686739,383.6102794,380.1106139,358.9858825,1311.9262836,1283.7440701,1177.700857,58.2036558,57.9935608,57.2230032,68.7625391,68.6115938,68.3393288,47.9578922,47.689577,46.4354647,718.1204637,710.1899535,763.3216342,427.0698628,417.3053175,458.7694724,291.0506008,292.8846359,304.5521618,580.6648844,573.9593405,631.326283,381.7140685,378.870071,415.8138084,198.9508158,195.0892695,215.5124746,137.4555793,136.230613,131.9953512,45.3557943,38.4352465,42.955664,92.099785,97.7953665,89.0396872,8.4585393,8.400285,9.0821986,8.6296028,8.4653597,9.2622275,8.2194611,8.3092753,8.8238434,8.7227583,8.6254288,9.3725481,8.4451368,8.3987709,9.1363937,9.3099591,9.102488,9.8645001,7.4989726,7.5680088,7.9101557,10.5732824,9.183043,10.6870425,6.5596919,7.0787242,7.029039,8489.8873787,8454.3555012,8404.590823,4948.8936454,4929.5639217,4953.122496,3540.9937333,3524.7915796,3451.468328,63.5817425,63.3119446,62.939273,75.2569116,74.9569711,75.3151933,52.25279,52.0113427,50.9293948,4948.901248,1623.402479,3325.498769,13353.49207,6576.524974,6776.967097
1991-02-01,7746.1493713,7758.0558959,7708.780594,4502.4662826,4515.5278452,4501.842334,3243.6830887,3242.5280507,3206.93826,6042.3584187,6043.5173255,6044.310151,4112.4692164,4116.9712233,4123.665058,1929.8892024,1926.5461022,1920.645093,1703.7909526,1714.5385704,1664.470443,389.9970662,398.5566218,378.1772761,1313.7938864,1315.9819485,1286.293167,57.9421918,58.0323198,57.6637275,68.3898645,68.5890401,68.3811627,47.8055419,47.7892664,47.2647343,744.7572231,731.4412063,807.5466346,443.6875193,433.5692774,468.3850336,301.0697038,297.8719289,339.161601,604.0194892,591.2766391,649.6809954,396.9206742,387.0211168,417.0009839,207.098815,204.2555223,232.6800115,140.7377339,140.1645672,157.8656392,46.7668451,46.5481606,51.3840497,93.9708888,93.6164066,106.4815895,8.7712333,8.6158367,9.4823345,8.9703543,8.7605732,9.423815,8.4933907,8.4135106,9.5643556,9.0879498,8.9117558,9.7054355,8.8020926,8.5928458,9.1836964,9.6911547,9.5858535,10.8056146,7.6300106,7.5572508,8.662817,10.70758,10.4577983,11.9619823,6.675184,6.6413533,7.6452843,8490.9065944,8489.4971022,8516.327228,4946.1538019,4949.0971226,4970.227368,3544.7527925,3540.3999796,3546.099861,63.5130714,63.5036944,63.7043909,75.1292218,75.1747819,75.4957418,52.2427203,52.1793845,52.2633909,4852.181767,1613.226545,3238.955222,13368.509,6583.453913,6785.055082
1991-03-01,7719.5628774,7701.68066,7715.386264,4482.7175487,4478.5980381,4480.95929,3236.8453287,3223.082622,3234.426974,6009.9378827,5997.7027261,5987.272707,4087.2275464,4088.1417327,4079.881804,1922.7103364,1909.5609934,1907.390902,1709.6249946,1703.9779339,1728.113557,395.4900023,390.4563054,401.0774856,1314.1349923,1313.5216286,1327.036072,57.6757502,57.5456665,57.6480724,68.0145558,67.9562879,67.9921166,47.6463531,47.4458039,47.6127999,768.6164469,778.9739997,818.6676259,458.8345257,466.2789124,478.398242,309.7819212,312.6950873,340.2693839,626.5478319,631.9396975,644.4272787,411.2634527,416.7952925,421.3213455,215.2843792,215.144405,223.1059332,142.068615,147.0343022,174.2403472,47.571073,49.4836198,57.0768965,94.497542,97.5506824,117.1634507,9.0551391,9.185305,9.5929512,9.285231,9.4295352,9.6463753,8.7345497,8.8437428,9.5188332,9.440958,9.5320329,9.7173768,9.1422535,9.2519671,9.360194,10.0694533,10.1258464,10.4720143,7.6723608,7.9434538,9.1591973,10.7369109,11.2478129,12.4580052,6.7084594,6.9132306,8.1126914,8488.1793243,8480.6546597,8534.05389,4941.5520744,4944.8769504,4959.357532,3546.6272499,3535.7777093,3574.696358,63.4183721,63.3660296,63.7650197,74.9762763,75.0314002,75.2511223,52.206342,52.0488723,52.6217793,4849.544101,1631.052529,3218.491572,13383.59799,6590.410061,6793.187929
1991-04-01,7694.043904,7695.9394288,7717.20651,4463.5437666,4462.1908337,4470.648651,3230.5001374,3233.7485951,3246.557858,5981.2587746,5975.4812663,5963.253069,4064.006238,4055.3173863,4052.051922,1917.2525366,1920.16388,1911.201147,1712.7851294,1720.4581625,1753.953441,399.5375286,406.8734474,418.5967294,1313.2476007,1313.5847151,1335.356711,57.4190606,57.4372282,57.5959511,67.6500139,67.6338958,67.7620919,47.4957204,47.5460092,47.7343446,788.3692428,841.9184923,849.4934822,472.0652469,503.0030495,498.3582794,316.303996,338.9154428,351.1352028,646.932938,680.7226641,677.5991177,424.4123453,447.0687959,440.1377546,222.5205927,233.6538682,237.4613631,141.4363048,161.1958282,171.8943645,47.6529016,55.9342536,58.2205248,93.7834032,105.2615746,113.6738397,9.2941623,9.8610038,9.9162278,9.5644782,10.1305822,10.0293336,8.9180001,9.4863508,9.76001,9.7603233,10.2268901,10.2034965,9.4557212,9.9295968,9.7978444,10.399261,10.8483584,11.0515896,7.6278001,8.5667093,8.9256464,10.6560647,12.085852,12.2102387,6.6653402,7.4188145,7.8448201,8482.4131468,8537.8579211,8566.699992,4935.6090135,4965.1938832,4969.006931,3546.8041333,3572.6640379,3597.693061,63.3024975,63.7207319,63.9359895,74.8046924,75.257966,75.3157607,52.1461106,52.5291043,52.8971076,4832.169824,1628.558947,3203.610878,13398.86982,6597.565878,6801.303939
1991-05-01,7672.23739,7693.8797542,7703.716449,4446.6536564,4464.0143066,4460.384936,3225.5837336,3229.8654476,3243.331512,5959.1475013,5980.7226679,5959.294995,4044.7606648,4063.2279117,4052.891187,1914.3868364,1917.4947562,1906.403808,1713.0898888,1713.1570863,1744.421454,401.8929916,400.7863949,407.4937494,1311.1968972,1312.3706914,1336.927704,57.1912453,57.3567365,57.4300676,67.3208723,67.5884599,67.5335086,47.3669024,47.4325699,47.6303273,803.519744,807.8894951,805.4079362,483.148131,482.0396396,480.8761857,320.371613,325.8498555,324.5317505,664.2412137,670.6493353,667.8978475,436.151333,432.1274943,431.3559771,228.0898807,238.5218409,236.5418704,139.2785303,137.2401598,137.5100887,46.996798,49.9121453,49.5202086,92.2817322,87.3280145,87.9898801,9.480212,9.5026044,9.465227,9.800559,9.7459438,9.7318513,9.0348462,9.1641155,9.0959694,10.0287216,10.0828721,10.0781411,9.7335394,9.6127548,9.6193622,10.6460845,11.06308,11.0381646,7.5189433,7.4167944,7.3068592,10.4695627,11.0743969,10.8356009,6.5752146,6.239058,6.1750856,8475.757134,8501.7692493,8509.124385,4929.8017874,4946.0539462,4941.261122,3545.9553466,3555.7153031,3567.863263,63.1809316,63.3794333,63.4342647,74.6355759,74.8868946,74.8143278,52.0714807,52.2178763,52.3962766,4904.957779,1663.437831,3241.519948,13414.08216,6604.698953,6809.38321
1991-06-01,7656.3111591,7658.7309599,7678.064063,4433.854766,4434.7880649,4449.428159,3222.4563931,3223.9428951,3228.635905,5944.9577066,5945.8913066,5930.488226,4030.8620022,4032.2887171,4033.813437,1914.0957043,1913.6025895,1896.674789,1711.3534525,1712.8396533,1747.575837,402.9927638,402.4993478,415.6147215,1308.3606888,1310.3403055,1331.961116,57.0079545,57.0299958,57.1739579,67.0541208,67.0734226,67.294845,47.2649828,47.2894882,47.3583262,814.3769817,809.324376,757.6829427,491.9976617,490.1287549,456.4840184,322.3793199,319.1956211,301.1989243,678.1039557,678.6608867,638.2341609,446.30037,449.2844629,422.5538368,231.8035857,229.3764239,215.6803241,136.273026,130.6634893,119.4487818,45.6972918,40.844292,33.9301816,90.5757342,89.8191973,85.5186002,9.6140593,9.5573818,8.9818121,9.9880715,9.952021,9.3047735,9.0943374,9.0088383,8.5329467,10.238527,10.2446304,9.7162602,9.9683758,10.0251507,9.4820245,10.8021652,10.7036244,10.2104198,7.3755723,7.0877823,6.397815,10.184601,9.212784,7.5476735,6.4746141,6.4149261,6.0331445,8470.6881408,8468.0553359,8435.747006,4925.8524277,4924.9168197,4905.912177,3544.835713,3543.1385162,3529.834829,63.0717057,63.0565512,62.8159703,74.4947052,74.4863165,74.198883,51.9934418,51.9715182,51.7763769,4993.556023,1705.928832,3287.627191,13429.30303,6611.841009,6817.46202
1991-07-01,7646.1574964,7630.4241019,7582.980614,4425.6143987,4414.1180291,4398.224893,3220.5430976,3216.3060728,3184.755721,5937.0054553,5926.7680161,5900.922159,4022.1529357,4014.7858545,4007.396183,1914.8525196,1911.9821616,1893.525975,1709.1520411,1703.6560858,1682.058456,403.461463,399.3321746,390.82871,1305.6905781,1304.3239111,1291.229746,56.8689097,56.7512166,56.398356,66.8578067,66.6829018,66.4428085,47.1819507,47.1196472,46.6574271,823.2804695,817.3486315,797.37907,499.4410407,494.9288083,484.7995752,323.8394287,322.4198232,312.5794948,689.5985654,686.0303662,675.9121781,455.1779291,451.5101157,444.8662005,234.4206363,234.5202505,231.0459775,133.6819041,131.3182653,121.4668919,44.2631116,43.4186926,39.9333747,89.4187925,87.8995727,81.5335172,9.7206033,9.6753151,9.514855,10.1408207,10.0819736,9.9282643,9.1366952,9.1111839,8.9376475,10.4065154,10.3742822,10.2771659,10.1662786,10.1092744,9.9919134,10.9069727,10.9256924,10.8749425,7.2541481,7.1564088,6.73497,9.8862368,9.8065743,9.2704015,6.4094468,6.3136108,5.939372,8469.4379658,8447.7727334,8380.359684,4925.0554394,4909.0468374,4883.024469,3544.3825264,3538.725896,3497.335216,62.9921243,62.8302403,62.3288563,74.4028681,74.1596591,73.7665461,51.9262983,51.8431741,51.2367908,5065.033316,1736.540531,3328.492784,13445.393,6619.565,6825.828
1991-08-01,7640.1202841,7635.7332693,7620.703211,4420.9659123,4420.365883,4398.615719,3219.1543718,3215.3673864,3222.087492,5932.2190321,5928.6407129,5902.195095,4017.2686124,4015.42611,3993.300491,1914.9504197,1913.2146029,1908.894604,1707.901252,1707.0925564,1718.508116,403.6972999,404.9397729,405.3152285,1304.2039521,1302.1527835,1313.192888,56.7624886,56.7263972,56.6147378,66.7184704,66.7047629,66.3765459,47.1082542,47.050441,47.1487763,832.5780847,828.7132848,796.6144527,506.3743641,508.2616707,495.4711908,326.2037207,320.4516141,301.1432619,700.0614154,697.0181851,677.4126777,463.1316649,465.4351537,458.0857244,236.9297506,231.5830314,219.3269532,132.5166693,131.6950996,119.201775,43.2426992,42.826517,37.3854664,89.2739701,88.8685826,81.8163086,9.8265989,9.7905194,9.4639942,10.2768296,10.3124382,10.123874,9.2008681,9.0630096,8.5473613,10.5553651,10.5199829,10.2956392,10.3368368,10.3871806,10.2908555,11.0103599,10.7974304,10.3056448,7.2003575,7.1620613,6.4864305,9.6752806,9.5644799,8.4448628,6.4065579,6.3887288,5.8649297,8472.6983688,8464.4465541,8417.317664,4927.3402763,4928.6275537,4894.08691,3545.3580925,3535.8190004,3523.230754,62.948151,62.8829662,62.5328424,74.3603577,74.3745973,73.8533678,51.8818332,51.7396065,51.5554028,5043.317336,1732.67509,3310.642246,13460.635,6626.762,6833.873
1991-09-01,7636.5055672,7645.1935414,7713.236218,4418.508837,4423.2187534,4446.146165,3217.9967302,3221.9747881,3267.090052,5927.9511651,5934.3492427,5952.28717,4014.4862736,4015.4896148,4025.199787,1913.4648915,1918.8596279,1927.087383,1708.5544021,1710.8442987,1760.949048,404.0225634,407.7291385,420.9463783,1304.5318387,1303.1151602,1340.002669,56.6766842,56.7324294,57.2373514,66.6156013,66.6752802,67.0208864,47.0400453,47.0917584,47.7511544,843.3239852,852.5727091,854.1322661,513.1715661,513.0523882,514.9691928,330.1524191,339.5203209,339.1630732,710.3686558,712.9846332,703.4434448,470.117763,468.5492429,468.1712428,240.2508928,244.4353904,235.2722021,132.9553294,139.5880759,150.6888212,43.0538031,44.5031454,46.7979501,89.9015263,95.0849305,103.8908711,9.9450582,10.0329038,9.9695988,10.4056128,10.3935212,10.3801092,9.3049194,9.533084,9.4048604,10.7010309,10.7258737,10.5689891,10.4829269,10.4492681,10.4191539,11.1551809,11.2992166,10.8803459,7.2199091,7.5435384,7.8827075,9.6300781,9.8407714,10.0050278,6.4471726,6.8005238,7.1951891,8479.8295524,8497.7662505,8567.368484,4931.6804031,4936.2711416,4961.115358,3548.1491493,3561.4951089,3606.253126,62.9356735,63.0590869,63.5755819,74.352427,74.4089949,74.7834948,51.8661487,52.0541216,52.7082961,4908.510516,1672.855642,3235.654874,13475.879,6633.971,6841.908
1991-10-01,7633.8213637,7616.2390752,7637.961584,4416.3320207,4410.8622079,4426.22451,3217.489343,3205.3768673,3211.737074,5922.2283635,5939.5856328,5955.213006,4011.3427111,4021.041792,4034.22272,1910.8856524,1918.5438407,1920.990286,1711.5930002,1676.6534424,1682.748577,404.9893097,389.8204159,392.0017892,1306.6036905,1286.8330265,1290.746788,56.5988944,56.4662049,56.6272539,66.5182772,66.4326597,66.6640336,46.9823444,46.8038122,46.8966818,855.2393854,845.0813694,789.0317782,519.6462209,518.5788461,484.7555573,335.5931645,326.5025233,304.2762209,720.4531304,716.1407629,665.2059578,476.0172976,476.1639223,444.6592784,244.4358328,239.9768407,220.5466793,134.7862551,128.9406064,123.8258204,43.6289233,42.4149238,40.0962789,91.1573317,86.5256826,83.7295415,10.0746056,9.9875826,9.363147,10.5277251,10.5200334,9.8708517,9.4451273,9.2444415,8.6540122,10.8458178,10.7597687,10.0477925,10.6079587,10.5879951,9.9279079,11.3410382,11.1176531,10.2985231,7.3000308,7.1411736,6.8541778,9.7251784,9.8129236,9.2794395,6.5216679,6.3002974,6.0917413,8489.0607492,8461.3204446,8426.993362,4935.9782416,4929.441054,4910.980067,3553.0825075,3531.8793905,3516.013295,62.9398345,62.7315725,62.4770742,74.3451279,74.2430537,73.96501,51.8827347,51.57129,51.3396187,5061.143638,1728.618933,3332.524705,13488.137,6639.599,6848.538
1991-11-01,7631.3173784,7597.0776397,7614.94176,4413.9113876,4409.3276066,4408.287285,3217.4059907,3187.7500331,3206.654475,5913.9760773,5858.7825003,5853.845014,4006.6380714,3983.4439312,3980.671149,1907.3380059,1875.3385691,1873.173864,1717.3413011,1738.2951394,1761.096746,407.2733162,425.8836753,427.6161362,1310.0679848,1312.4114641,1333.48061,56.521337,56.272986,56.4053089,66.4155177,66.3532631,66.3376079,46.9302239,46.5014137,46.7771829,866.6913002,862.7498492,806.1713059,525.2827784,522.0567291,491.3219057,341.4085218,340.6931202,314.8494002,729.7133877,732.2221424,688.7303544,480.7976495,482.3830628,458.0126167,248.9157382,249.8390796,230.7177377,136.9779126,130.5277068,117.4409514,44.485129,39.6736663,33.3092889,92.4927836,90.8540405,84.1316625,10.1987575,10.1981967,9.5732156,10.6349894,10.5864133,10.0277775,9.5933216,9.6556216,8.9407654,10.9835565,11.1094163,10.5268998,10.7143072,10.8016514,10.3186584,11.5438982,11.7561504,10.9662369,7.3869651,6.984488,6.2517218,9.8471051,8.5217572,7.2266113,6.5945651,6.4744726,5.9347442,8498.0086786,8459.827489,8421.113066,4939.194166,4931.3843356,4899.609191,3558.8145126,3528.4431533,3521.503875,62.9404844,62.6635368,62.3767717,74.3193754,74.2093741,73.7312095,51.9101296,51.4712864,51.3700594,5079.285934,1745.621809,3333.664125,13500.399,6645.231,6855.168
1991-12-01,7628.5936321,7616.9899833,7712.178014,4411.2290164,4406.2486315,4459.130256,3217.3646157,3210.7413518,3253.047758,5903.1708729,5897.6784364,5990.829068,4000.0962322,4001.6170954,4056.436271,1903.0746408,1896.061341,1934.392797,1725.4227591,1719.3115469,1721.348946,411.1327843,404.6315361,402.6939853,1314.2899749,1314.6800108,1318.654961,56.439097,56.3692987,57.0737348,66.3044613,66.2508201,67.0459298,46.8767571,46.7915458,47.4080956,876.2606797,891.3258584,906.0036808,530.1064149,536.7089211,546.2152072,346.1542648,354.6169373,359.7884736,737.9805867,742.0536125,753.4507283,485.1136795,487.0417034,491.4693272,252.8669072,255.0119091,261.9814011,138.280093,149.2722458,152.5529525,44.9927354,49.6672177,54.7458799,93.2873576,99.6050281,97.8070725,10.3030651,10.4759376,10.5127011,10.727999,10.8580524,10.9126375,9.7138328,9.9461796,9.9586156,11.1122385,11.1759572,11.1717003,10.8158523,10.8504951,10.806498,11.7288387,11.8551011,11.9279038,7.4196427,7.988523,8.1409252,9.8641127,10.9327215,11.9678856,6.6275121,7.0427831,6.9050261,8504.8543117,8508.3158417,8618.181695,4941.3354313,4942.9575526,5005.345464,3563.5188805,3565.358289,3612.836231,62.9219907,62.9655281,63.778587,74.272404,74.3205886,75.2586315,51.9201983,51.9595344,52.6514513,4894.475305,1645.513536,3248.961769,13512.657,6650.859,6861.798
